hashtag,created_at,text,source,geo,user_id,user_location,user_followers,user_friends,retweet
hoyasaxa,2020-02-15 22:15:48,"b'RT @BIGEASTMBB: ""\xf0\x9d\x97\xaa\xf0\x9d\x97\xb2 \xf0\x9d\x97\xb7\xf0\x9d\x98\x82\xf0\x9d\x98\x80\xf0\x9d\x98\x81 \xf0\x9d\x97\xbd\xf0\x9d\x97\xb9\xf0\x9d\x97\xae\xf0\x9d\x98\x86\xf0\x9d\x97\xb2\xf0\x9d\x97\xb1. \xf0\x9d\x97\xa1\xf0\x9d\x97\xb2\xf0\x9d\x98\x85\xf0\x9d\x98\x81 \xf0\x9d\x97\xba\xf0\x9d\x97\xae\xf0\x9d\x97\xbb \xf0\x9d\x98\x82\xf0\x9d\x97\xbd.""\n\n@CoachEwing33 has @GeorgetownHoops ahead on the road and joined @TheAndyKatz at the half on\xe2\x80\xa6'",Twitter Web App,,97823437,"Norman, Oklahoma",8591,2002,5
hoyasaxa,2020-02-15 22:15:36,b'RT @GeorgetownHoops: TERRELL ALLEN!! A clutch 3-pointer as the shot clock expires extends the #Hoyas lead. 69-60 with 36 seconds left. #HOY\xe2\x80\xa6',Twitter for iPhone,,1032990658024431622,"Mendham, NJ",1626,1975,60
hoyasaxa,2020-02-15 22:15:29,b'I am such a proud #Hoya right now... #Georgetown played their hearts out and played so collaboratively and with two\xe2\x80\xa6 https://t.co/swjTxgRMa7',Twitter for iPhone,,15874610,"Hamptons, New York",11328,8895,0
hoyasaxa,2020-02-15 22:14:18,"b'RT @GeorgetownHoops: HOYAS WIN!! HOYAS WIN!! HOYAS WIN!! The #Hoyas take down No. 19/20 Butler on the road, 73-66. \nAllen ties career high\xe2\x80\xa6'",Twitter Web App,,884885796,,6789,5026,95
hoyasaxa,2020-02-15 22:14:16,b'Huge win for bubble-hopeful Hoyas they needed this one #HoyaSaxa @GeorgetownHoops https://t.co/Mi8uBJGziU',Twitter for iPhone,,1194850075966619648,,33,21,0
hoyasaxa,2020-02-15 22:12:08,b'RT @GeorgetownHoops: TERRELL ALLEN!! A clutch 3-pointer as the shot clock expires extends the #Hoyas lead. 69-60 with 36 seconds left. #HOY\xe2\x80\xa6',Twitter for iPhone,,383163913,,46,663,60
hoyasaxa,2020-02-15 22:10:56,b'RT @EarlDosSantos: Patrick Ewing just schooled LaVall Jordan &amp; Butler at Hinkle Fieldhouse! \n\nBiggest win of the year for the @CoachEwing33\xe2\x80\xa6',Twitter for iPhone,,26443722,Stony Brook University,144,329,11
hoyasaxa,2020-02-15 22:10:06,"b'RT @GeorgetownHoops: HOYAS WIN!! HOYAS WIN!! HOYAS WIN!! The #Hoyas take down No. 19/20 Butler on the road, 73-66. \nAllen ties career high\xe2\x80\xa6'",Twitter Web App,,1279235582,"Chicago, IL",251,1070,95
hoyasaxa,2020-02-15 22:09:18,"b'RT @GeorgetownHoops: HOYAS WIN!! HOYAS WIN!! HOYAS WIN!! The #Hoyas take down No. 19/20 Butler on the road, 73-66. \nAllen ties career high\xe2\x80\xa6'",TweetDeck,,275716592,"Florida, USA",1045,1609,95
hoyasaxa,2020-02-15 22:08:52,"b'RT @GeorgetownHoops: HOYAS WIN!! HOYAS WIN!! HOYAS WIN!! The #Hoyas take down No. 19/20 Butler on the road, 73-66. \nAllen ties career high\xe2\x80\xa6'",Twitter for iPhone,,12409812,"Washington, DC & Worldwide",13459,588,95
